Feedstock,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bagasse,4,78,228,1573,2661,7433,8893,9761,8484,4293,785,38
MSW,7719,7719,7541,4587,3932,3322,2989,2863,5965,6937,7637,7666
Oil Palm,4680,4376,4816,4837,4652,5028,4696,4919,4864,4522,4382,4308
Rice,4579,8785,20422,14583,8589,8663,11574,8857,9138,8534,6202,4190
Rubber,80,80,0,0,0,0,15329,49785,50250,35037,582,197
Wood,5512,5677,5782,5298,5016,5824,6024,5886,6270,5852,6296,6321
