Feedstock,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bagasse,0,47,78,1298,1753,2583,2832,2506,2065,1481,446,11
Rubber,0,0,0,0,0,0,9786,34966,34966,25180,0,0
Rice,1461,2644,3622,3908,1672,1434,1609,1684,2303,2215,1365,729
Wood,3832,3947,4020,3683,3487,4049,4188,4092,4359,4068,4377,4394
Oil Palm,2343,2252,2419,2524,2359,2664,2528,2631,2627,2472,2365,2326
MSW,1676,1676,1498,1346,837,620,620,620,929,1676,1676,1676
