Feedstock,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bagasse,4,30,150,140,66,175,174,216,73,64,32,27
MSW,378,378,378,378,378,378,266,144,140,159,378,378
Oil Palm,92,85,139,116,105,112,118,111,106,109,113,107
Rice,505,694,1772,2569,1783,581,553,1572,2658,1824,1169,511
Rubber,80,80,0,0,0,0,0,0,127,127,127,80
Wood,0,0,0,0,0,0,0,0,0,0,0,0
