Feedstock,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
MSW,769,769,769,769,623,464,284,284,284,489,736,736
Oil Palm,2135,1943,2154,2089,2083,2146,1959,2045,2037,1849,1801,1777
Rice,234,469,771,490,255,247,370,822,757,394,131,65
Rubber,0,0,0,0,0,0,5544,13622,13622,8079,0,0
Wood,1289,1327,1352,1239,1173,1362,1409,1376,1466,1368,1472,1478
