Feedstock,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bagasse,0,0,0,0,0,0,73,808,927,278,0,0
Rubber,0,0,0,0,0,0,0,0,5,5,5,0
Rice,221,230,885,1475,953,490,529,293,264,385,353,258
Wood,0,0,0,0,0,0,0,0,0,0,0,0
Oil Palm,0,0,0,0,0,0,0,0,0,0,0,0
MSW,372,372,372,372,372,138,138,138,138,138,372,372
